"","word","catnum","catname","syl","letters","freq","frequency","rank","rfreq"
"1","diamond","1","precious stone",2,7,435,8,1,1.52
"2","ruby","1","precious stone",2,4,419,0,2,2.25
"3","emerald","1","precious stone",2,7,329,4,3,3.24
"4","sapphire","1","precious stone",3,8,245,0,4,3.87
"5","pearl","1","precious stone",1,5,177,6,5,3.95
"6","opal","1","precious stone",2,4,100,0,6,4.73
"7","jade","1","precious stone",1,4,84,1,7,4.44
"8","topaz","1","precious stone",2,5,72,0,8,4.73
"9","amethyst","1","precious stone",3,8,62,0,9,4.76
"10","onyx","1","precious stone",2,4,59,0,10,5.22
"11","garnet","1","precious stone",2,6,44,1,11,4.74
"12","turquoise","1","precious stone",2,9,33,3,12,5.37
"13","gem","1","precious stone",1,3,30,3,13,2.75
"14","aquamarine","1","precious stone",4,10,27,0,14,5
"15","gold","1","precious stone",1,4,23,52,15,4
"16","silver","1","precious stone",2,6,16,29,16,4.45
"17","zircon","1","precious stone",2,6,14,0,17,5.25
"18","quartz","1","precious stone",1,6,12,1,18,3.33
"19","moonstone","1","precious stone",2,9,6,NA,19,NA
"20","star sapphire","1","precious stone",3,12,6,NA,20,NA
"21","crystal","1","precious stone",2,7,5,NA,21,NA
"22","alexandrite","1","precious stone",4,11,4,NA,22,NA
"23","cameo","1","precious stone",3,5,4,NA,23,NA
"24","jewel","1","precious stone",2,5,4,NA,24,NA
"25","bloodstone","1","precious stone",2,10,3,NA,25,NA
"26","platinum","1","precious stone",3,8,3,NA,26,NA
"27","uranium","1","precious stone",4,7,3,NA,27,NA
"28","amherst","1","precious stone",2,7,2,NA,28,NA
"29","black pearl","1","precious stone",2,10,2,NA,29,NA
"30","coral ebony","1","precious stone",5,10,2,NA,30,NA
"31","granite","1","precious stone",2,7,2,NA,31,NA
"32","lapis lazuli","1","precious stone",5,11,2,NA,32,NA
"33","marble","1","precious stone",2,6,2,NA,33,NA
"34","peridot","1","precious stone",3,7,2,NA,34,NA
"35","rhinestone","1","precious stone",2,10,2,NA,35,NA
"36","hour","2","unit of time",1,4,433,144,1,2.6
"37","minute","2","unit of time",2,6,430,53,2,1.92
"38","second","2","unit of time",2,6,426,373,3,2.14
"39","year","2","unit of time",1,4,424,660,4,5.93
"40","day","2","unit of time",1,3,404,686,5,4.07
"41","century","2","unit of time",3,7,359,207,6,7.93
"42","month","2","unit of time",1,5,325,130,7,5.98
"43","decade","2","unit of time",2,6,319,46,8,7.62
"44","week","2","unit of time",1,4,280,275,9,5.41
"45","millisecond","2","unit of time",4,11,49,0,10,7.36
"46","eon","2","unit of time",2,3,48,0,11,8.29
"47","era","2","unit of time",2,3,46,30,12,8.39
"48","score","2","unit of time",1,5,46,66,13,8.48
"49","millenium","2","unit of time",4,9,38,4,14,8.87
"50","fortnight","2","unit of time",2,9,24,1,15,7.53
"51","half hour","2","unit of time",2,8,23,8,16,6
"52","age","2","unit of time",1,3,20,227,17,9.62
"53","microsecond","2","unit of time",4,12,20,4,18,7.5
"54","light-year","2","unit of time",2,10,18,1,19,7.82
"55","eternity","2","unit of time",4,8,13,6,20,8.33
"56","generation","2","unit of time",4,10,11,55,21,9.33
"57","epoch","2","unit of time",2,5,10,6,22,8.4
"58","period","2","unit of time",3,6,8,NA,23,NA
"59","night","2","unit of time",1,5,6,NA,24,NA
"60","infinity","2","unit of time",4,8,5,NA,25,NA
"61","a.d.","2","unit of time",2,4,4,NA,26,NA
"62","afternoon","2","unit of time",3,9,4,NA,27,NA
"63","b.c.","2","unit of time",2,4,4,NA,28,NA
"64","degree","2","unit of time",2,6,4,NA,29,NA
"65","lifetime","2","unit of time",2,8,4,NA,30,NA
"66","moment","2","unit of time",2,6,4,NA,31,NA
"67","quarter hour","2","unit of time",3,11,4,NA,32,NA
"68","semester","2","unit of time",3,8,4,NA,33,NA
"69","centennial","2","unit of time",4,10,3,NA,34,NA
"70","clock","2","unit of time",1,5,3,NA,35,NA
"71","moon","2","unit of time",1,4,3,NA,36,NA
"72","one-tenth second","2","unit of time",4,15,3,NA,37,NA
"73","biennium","2","unit of time",4,8,2,NA,38,NA
"74","evening","2","unit of time",2,7,2,NA,39,NA
"75","half minute","2","unit of time",2,10,2,NA,40,NA
"76","split second","2","unit of time",3,11,2,NA,41,NA
"77","ten minutes","2","unit of time",3,10,2,NA,42,NA
"78","twenty-four hours","2","unit of time",5,16,2,NA,43,NA
"79","aunt","3","relative",1,4,432,22,1,2.8
"80","uncle","3","relative",2,5,427,57,2,3.55
"81","father","3","relative",2,6,373,183,3,3.92
"82","mother","3","relative",2,6,370,216,4,3.44
"83","brother","3","relative",2,7,354,73,5,5.09
"84","sister","3","relative",2,6,351,38,6,5.08
"85","cousin","3","relative",2,6,340,51,7,5.83
"86","grandmother","3","relative",3,11,314,9,8,6.79
"87","grandfather","3","relative",3,11,304,12,9,7.15
"88","nephew","3","relative",2,6,143,9,10,7.44
"89","niece","3","relative",1,5,138,8,11,7.02
"90","husband","3","relative",2,7,46,131,12,7.37
"91","son","3","relative",1,3,43,166,13,7.81
"92","daughter","3","relative",2,8,41,72,14,8.58
"93","mother-in-law","3","relative",4,11,41,1,15,7.43
"94","brother-in-law","3","relative",4,12,38,5,16,7.33
"95","wife","3","relative",1,4,37,228,17,4.43
"96","great-aunt","3","relative",2,9,34,0,18,8.96
"97","sister-in-law","3","relative",4,11,33,2,19,7.61
